seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
11	40	60	18	32	18	38	
11	40	70	18	33	18	39	
11	40	80	18	33	18	41	
11	40	90	18	33	18	42	
11	40	100	18	33	18	43	
11	60	0	13	13	13	13	
11	60	10	23	31	20	27	
11	60	20	26	37	24	38	
11	60	30	27	41	25	44	
11	60	40	29	45	26	48	
11	60	50	29	47	26	49	
11	60	60	29	47	26	52	
11	60	70	31	50	27	52	
11	60	80	31	50	27	53	
11	60	90	31	50	28	55	
11	60	100	31	50	28	58	
11	80	0	9	9	9	9	
11	80	10	21	33	20	28	
11	80	20	32	49	29	44	
11	80	30	32	51	29	46	
11	80	40	32	51	30	49	
11	80	50	33	53	30	52	
11	80	60	33	56	30	56	
11	80	70	33	58	30	59	
11	80	80	33	58	30	61	
11	80	90	35	61	31	66	
11	80	100	35	61	31	67	
11	100	0	12	12	12	12	
11	100	10	31	43	27	38	
11	100	20	38	59	34	53	
11	100	30	41	67	36	60	
11	100	40	42	73	40	68	
11	100	50	43	74	40	71	
11	100	60	43	75	41	74	
11	100	70	43	76	41	76	
11	100	80	46	80	43	82	
11	100	90	46	81	43	86	
11	100	100	47	83	43	87	
12	20	0	7	7	7	7	
12	20	10	9	12	9	14	
12	20	20	9	15	9	17	
12	20	30	9	16	9	21	
12	20	40	11	19	11	25	
12	20	50	11	19	11	23	
12	20	60	11	19	11	21	
12	20	70	11	19	11	22	
12	20	80	11	20	11	22	
12	20	90	11	20	11	24	
12	20	100	11	20	11	25	
12	40	0	9	9	9	9	
12	40	10	11	18	11	18	
12	40	20	14	24	14	24	
12	40	30	16	28	16	27	
12	40	40	16	29	16	29	
12	40	50	16	29	16	31	
12	40	60	16	30	16	33	
12	40	70	16	30	16	36	
12	40	80	16	31	16	37	
12	40	90	16	32	16	36	
12	40	100	16	32	16	37	
12	60	0	8	8	8	8	
12	60	10	17	26	17	26	
12	60	20	20	34	20	35	
12	60	30	21	38	21	39	
12	60	40	21	38	21	41	
12	60	50	22	41	21	43	
12	60	60	23	42	21	43	
12	60	70	25	45	22	45	
12	60	80	26	45	23	48	
12	60	90	26	46	23	49	
12	60	100	27	49	23	49	
12	80	0	16	16	16	16	
12	80	10	23	31	20	28	
12	80	20	26	37	25	37	
12	80	30	26	40	26	44	
12	80	40	28	46	28	49	
12	80	50	29	50	29	54	
12	80	60	32	54	30	60	
12	80	70	32	57	30	64	
12	80	80	32	57	30	65	
12	80	90	33	59	31	68	
12	80	100	35	60	32	69	
12	100	0	13	13	13	13	
12	100	10	22	31	22	29	
12	100	20	30	47	29	43	
12	100	30	34	54	31	51	
12	100	40	35	56	33	56	
12	100	50	41	66	39	69	
12	100	60	42	69	40	74	
12	100	70	42	69	40	77	
12	100	80	42	69	41	77	
12	100	90	44	72	41	79	
12	100	100	45	73	42	80	
13	20	0	9	9	9	9	
13	20	10	11	17	11	17	
