seed	BD	V	N	t_sec	n_invisible	p_invisible	
5	6	30	80	0.7488	5	0.166666666666667	
5	6	30	90	0.7332	3	0.1	
5	6	30	100	0.781	5	0.166666666666667	
5	6	40	0	1.7299	40	1	
5	6	40	10	1.3164	23	0.575	
5	6	40	20	1.2734	17	0.425	
5	6	40	30	1.3628	11	0.275	
5	6	40	40	1.3121	10	0.25	
5	6	40	50	1.3508	14	0.35	
5	6	40	60	1.116	8	0.2	
5	6	40	70	1.8841	6	0.15	
5	6	40	80	1.2012	8	0.2	
5	6	40	90	1.1718	7	0.175	
5	6	40	100	1.0814	4	0.1	
5	6	50	0	2.0091	50	1	
5	6	50	10	1.8574	32	0.64	
5	6	50	20	1.9242	25	0.5	
5	6	50	30	1.9816	22	0.44	
5	6	50	40	1.482	15	0.3	
5	6	50	50	1.4996	16	0.32	
5	6	50	60	1.3614	12	0.24	
5	6	50	70	1.5288	17	0.34	
5	6	50	80	1.3728	8	0.16	
5	6	50	90	1.3076	8	0.16	
5	6	50	100	1.5912	6	0.12	
5	6	60	0	2.5523	60	1	
5	6	60	10	2.1062	33	0.55	
5	6	60	20	1.9502	33	0.55	
5	6	60	30	1.7972	20	0.333333333333333	
5	6	60	40	1.7882	24	0.4	
5	6	60	50	1.8752	24	0.4	
5	6	60	60	2.2122	23	0.383333333333333	
5	6	60	70	1.9752	21	0.35	
5	6	60	80	2.0462	19	0.316666666666667	
5	6	60	90	1.8542	16	0.266666666666667	
5	6	60	100	1.6422	9	0.15	
5	6	70	0	2.5733	70	1	
5	6	70	10	2.3352	47	0.671428571428571	
5	6	70	20	2.4292	40	0.571428571428571	
5	6	70	30	2.1672	30	0.428571428571429	
5	6	70	40	2.0202	24	0.342857142857143	
5	6	70	50	2.2802	35	0.5	
5	6	70	60	1.9682	22	0.314285714285714	
5	6	70	70	2.1002	22	0.314285714285714	
5	6	70	80	1.9532	18	0.257142857142857	
5	6	70	90	1.8142	14	0.2	
5	6	70	100	2.0282	19	0.271428571428571	
5	6	80	0	2.8983	80	1	
5	6	80	10	2.4983	47	0.5875	
5	6	80	20	2.7293	51	0.6375	
5	6	80	30	2.5383	42	0.525	
5	6	80	40	2.3452	35	0.4375	
5	6	80	50	2.4252	36	0.45	
5	6	80	60	2.1512	24	0.3	
5	6	80	70	2.1832	23	0.2875	
5	6	80	80	2.3852	31	0.3875	
5	6	80	90	2.4762	33	0.4125	
5	6	80	100	2.4622	24	0.3	
5	6	90	0	3.7484	90	1	
5	6	90	10	3.0913	55	0.611111111111111	
5	6	90	20	2.6373	44	0.488888888888889	
5	6	90	30	2.7603	39	0.433333333333333	
5	6	90	40	2.6813	34	0.377777777777778	
5	6	90	50	2.6663	43	0.477777777777778	
5	6	90	60	2.6583	35	0.388888888888889	
5	6	90	70	2.5603	32	0.355555555555556	
5	6	90	80	2.4983	28	0.311111111111111	
5	6	90	90	2.4862	29	0.322222222222222	
5	6	90	100	2.3422	20	0.222222222222222	
5	6	100	0	3.9724	100	1	
5	6	100	10	3.8604	79	0.79	
5	6	100	20	3.2563	56	0.56	
5	6	100	30	3.1043	46	0.46	
5	6	100	40	2.8993	42	0.42	
5	6	100	50	3.5554	48	0.48	
5	6	100	60	2.8573	34	0.34	
5	6	100	70	2.8333	35	0.35	
5	6	100	80	2.7463	34	0.34	
5	6	100	90	3.1507	35	0.35	
5	6	100	100	2.8004	35	0.35	
6	6	10	0	0.3462	10	1	
6	6	10	10	0.4212	4	0.4	
6	6	10	20	0.3432	3	0.3	
6	6	10	30	0.312	1	0.1	
6	6	10	40	0.4056	0	0	
6	6	10	50	0.3276	0	0	
6	6	10	60	0.345	0	0	
6	6	10	70	0.3562	0	0	
6	6	10	80	0.3588	0	0	
6	6	10	90	0.3744	0	0	
6	6	10	100	0.3588	0	0	
6	6	20	0	0.7488	20	1	
6	6	20	10	0.6396	7	0.35	
6	6	20	20	0.7801	11	0.55	
6	6	20	30	0.6562	5	0.25	
6	6	20	40	0.6396	4	0.2	
6	6	20	50	0.5854	3	0.15	
6	6	20	60	0.6674	3	0.15	
6	6	20	70	0.6728	4	0.2	
6	6	20	80	0.6396	2	0.1	
6	6	20	90	0.8445	2	0.1	
6	6	20	100	0.6884	2	0.1	
6	6	30	0	1.1809	30	1	
6	6	30	10	1.0785	21	0.7	
6	6	30	20	0.8113	6	0.2	
6	6	30	30	0.8133	7	0.233333333333333	
6	6	30	40	0.8581	7	0.233333333333333	
6	6	30	50	0.8073	5	0.166666666666667	
6	6	30	60	0.8407	6	0.2	
6	6	30	70	0.7957	5	0.166666666666667	
6	6	30	80	0.7821	5	0.166666666666667	
6	6	30	90	0.7801	5	0.166666666666667	
6	6	30	100	0.781	4	0.133333333333333	
6	6	40	0	1.4217	40	1	
6	6	40	10	1.1701	22	0.55	
6	6	40	20	1.1701	15	0.375	
6	6	40	30	1.2911	16	0.4	
