seed	BD	V	N	t_sec	n_invisible	p_invisible	
4	6	70	100	1.9774	15	0.214285714285714	
4	6	80	0	2.8249	80	1	
4	6	80	10	2.5624	48	0.6	
4	6	80	20	2.7741	40	0.5	
4	6	80	30	2.3712	35	0.4375	
4	6	80	40	2.4973	40	0.5	
4	6	80	50	2.4024	25	0.3125	
4	6	80	60	2.2603	29	0.3625	
4	6	80	70	2.3088	27	0.3375	
4	6	80	80	2.3706	27	0.3375	
4	6	80	90	2.1848	24	0.3	
4	6	80	100	2.2776	18	0.225	
4	6	90	0	3.3843	90	1	
4	6	90	10	3.1827	64	0.711111111111111	
4	6	90	20	2.808	44	0.488888888888889	
4	6	90	30	2.7147	40	0.444444444444444	
4	6	90	40	2.951	47	0.522222222222222	
4	6	90	50	2.7256	40	0.444444444444444	
4	6	90	60	2.8561	28	0.311111111111111	
4	6	90	70	2.7486	35	0.388888888888889	
4	6	90	80	2.6961	33	0.366666666666667	
4	6	90	90	2.6208	30	0.333333333333333	
4	6	90	100	2.7443	32	0.355555555555556	
4	6	100	0	3.7374	100	1	
4	6	100	10	3.6889	73	0.73	
4	6	100	20	3.3111	59	0.59	
4	6	100	30	3.2513	55	0.55	
4	6	100	40	3.1677	53	0.53	
4	6	100	50	3.3663	43	0.43	
4	6	100	60	2.7612	35	0.35	
4	6	100	70	2.9633	42	0.42	
4	6	100	80	2.9175	34	0.34	
4	6	100	90	2.7768	33	0.33	
4	6	100	100	2.8687	31	0.31	
5	6	10	0	0.469	10	1	
5	6	10	10	0.39	5	0.5	
5	6	10	20	0.392	5	0.5	
5	6	10	30	0.39	3	0.3	
5	6	10	40	0.3774	2	0.2	
5	6	10	50	0.4788	2	0.2	
5	6	10	60	0.468	2	0.2	
5	6	10	70	0.4524	2	0.2	
5	6	10	80	0.4534	1	0.1	
5	6	10	90	0.469	1	0.1	
5	6	10	100	0.4368	1	0.1	
5	6	20	0	0.9526	20	1	
5	6	20	10	0.782	11	0.55	
5	6	20	20	0.6396	6	0.3	
5	6	20	30	0.5792	3	0.15	
5	6	20	40	0.6864	7	0.35	
5	6	20	50	0.6504	6	0.3	
5	6	20	60	0.624	4	0.2	
5	6	20	70	0.6708	4	0.2	
5	6	20	80	0.5792	4	0.2	
5	6	20	90	0.5772	2	0.1	
5	6	20	100	0.6552	3	0.15	
5	6	30	0	1.0472	30	1	
5	6	30	10	0.8748	12	0.4	
5	6	30	20	0.858	9	0.3	
5	6	30	30	0.7956	8	0.266666666666667	
5	6	30	40	0.8288	7	0.233333333333333	
5	6	30	50	0.8268	7	0.233333333333333	
5	6	30	60	0.7811	5	0.166666666666667	
5	6	30	70	0.8251	5	0.166666666666667	
5	6	30	80	0.7645	5	0.166666666666667	
5	6	30	90	0.7957	3	0.1	
5	6	30	100	0.7489	5	0.166666666666667	
5	6	40	0	1.6109	40	1	
5	6	40	10	1.3457	23	0.575	
5	6	40	20	1.3137	17	0.425	
5	6	40	30	1.1857	11	0.275	
5	6	40	40	1.1077	10	0.25	
5	6	40	50	1.2169	14	0.35	
5	6	40	60	1.0989	8	0.2	
5	6	40	70	1.0835	6	0.15	
5	6	40	80	1.1545	8	0.2	
5	6	40	90	1.1857	7	0.175	
5	6	40	100	1.0141	4	0.1	
5	6	50	0	1.9948	50	1	
5	6	50	10	1.7795	32	0.64	
5	6	50	20	1.6801	25	0.5	
5	6	50	30	1.5601	22	0.44	
5	6	50	40	1.4197	15	0.3	
5	6	50	50	1.4455	16	0.32	
5	6	50	60	1.3795	12	0.24	
5	6	50	70	1.5777	17	0.34	
5	6	50	80	1.2033	8	0.16	
5	6	50	90	1.2881	8	0.16	
5	6	50	100	1.2481	6	0.12	
5	6	60	0	2.233	60	1	
5	6	60	10	2.0138	33	0.55	
5	6	60	20	1.9346	33	0.55	
5	6	60	30	1.6693	20	0.333333333333333	
5	6	60	40	1.6997	24	0.4	
5	6	60	50	1.9346	24	0.4	
5	6	60	60	1.8752	23	0.383333333333333	
5	6	60	70	1.7289	21	0.35	
5	6	60	80	1.8108	19	0.316666666666667	
5	6	60	90	1.7335	16	0.266666666666667	
5	6	60	100	1.6355	9	0.15	
5	6	70	0	2.5814	70	1	
5	6	70	10	2.449	47	0.671428571428571	
5	6	70	20	2.2934	40	0.571428571428571	
5	6	70	30	2.1356	30	0.428571428571429	
5	6	70	40	1.9824	24	0.342857142857143	
5	6	70	50	2.357	35	0.5	
5	6	70	60	1.9658	22	0.314285714285714	
5	6	70	70	2.0244	22	0.314285714285714	
5	6	70	80	2.075	18	0.257142857142857	
5	6	70	90	1.7337	14	0.2	
5	6	70	100	2.0284	19	0.271428571428571	
5	6	80	0	2.7712	80	1	
5	6	80	10	2.5782	47	0.5875	
5	6	80	20	2.7546	51	0.6375	
5	6	80	30	2.5274	42	0.525	
5	6	80	40	2.3282	35	0.4375	
5	6	80	50	2.4972	36	0.45	
5	6	80	60	2.12	24	0.3	
5	6	80	70	2.2466	23	0.2875	
5	6	80	80	2.3696	31	0.3875	
5	6	80	90	2.3764	33	0.4125	
5	6	80	100	2.2744	24	0.3	
5	6	90	0	3.4517	90	1	
5	6	90	10	3.0425	55	0.611111111111111	
5	6	90	20	2.7146	44	0.488888888888889	
5	6	90	30	2.9643	39	0.433333333333333	
5	6	90	40	2.5917	34	0.377777777777778	
5	6	90	50	2.7509	43	0.477777777777778	
5	6	90	60	2.6279	35	0.388888888888889	
5	6	90	70	2.4837	32	0.355555555555556	
5	6	90	80	2.4337	28	0.311111111111111	
5	6	90	90	2.4339	29	0.322222222222222	
